Brand Name,Product Name,Colour,Price,Currency,Product ID,URL
Levi's,Levi's - Chaussures en toile avec étiquette rouge,Noir,39.99,EUR,1381184,levis/levis-chaussures-en-toile-avec-etiquette-rouge/prd/11035816?clr=noir&colourWayId=16280470
Love Moschino,Love Moschino - Baskets motif cœur en sequins,Noir,130.49,EUR,1392282,love-moschino/love-moschino-baskets-motif-cur-en-sequins/prd/11175772?clr=noir&colourWayId=16328680
Love Moschino,Love Moschino - Baskets montantes pailletées à logo,Noir,192.99,EUR,1490507,love-moschino/love-moschino-baskets-montantes-pailletees-a-logo/prd/12493493?clr=noir&colourWayId=16422346
Monki,Monki - Baskets à pois avec semelle plateforme - Noir,Noir,21.99,EUR,1451086,monki/monki-baskets-a-pois-avec-semelle-plateforme-noir/prd/11964847?clr=noir&colourWayId=16359423
New Balance,New Balance - 373 - Baskets - Noir MTL{[#1]}MB,Noir,80.0,EUR,1521310,new-balance/new-balance-373-baskets-noir-mtl1mb/prd/12883163?clr=noir&colourWayId=16431895
New Balance,New Balance - 373 - Baskets - Noir MTL{[#1]}MB,Noir,84.99,EUR,956672,new-balance/new-balance-373-baskets-noir-mtl1mb/prd/7350844?clr=noir&colourWayId=15279827
New Balance,New Balance - 574 Sport V2 - Baskets - Noir,Noir,109.99,EUR,1348625,new-balance/new-balance-574-sport-v2-baskets-noir/prd/10635860?clr=noir&colourWayId=16306667
New Balance,New Balance - X-Racer - Baskets - Noir,Noir,110.0,EUR,1521314,new-balance/new-balance-x-racer-baskets-noir/prd/12883180?clr=noir&colourWayId=16452623
New Balance,New Balance - 247 - Sandales style baskets - Noir,Multi,110.0,EUR,1457958,new-balance/new-balance-247-sandales-style-baskets-noir/prd/12061772?clr=multi&colourWayId=16383694
New Look,New Look - Plimsoll - Noir,Noir,10.49,EUR,1275938,new-look/new-look-plimsoll-noir/prd/9776987?clr=noir&colourWayId=15069013
New Look,New Look - Baskets à lacets - Noir,Noir,19.99,EUR,1479900,new-look/new-look-baskets-a-lacets-noir/prd/12358412?clr=noir&colourWayId=16382428
New Look,New Look - Baskets en PU - Noir,Noir,19.99,EUR,1408213,new-look/new-look-baskets-en-pu-noir/prd/11414744?clr=noir&colourWayId=16315818
Nike,Nike - Internationalist - Baskets - Noir et doré,Noir/argenté,68.49,EUR,1302527,nike/nike-internationalist-baskets-noir-et-dore/prd/10090886?clr=noir-argente&colourWayId=15093323
Nike,Nike Black - Classic Cortez - Baskets de qualité supérieure,Noir/blanc,69.49,EUR,1302417,nike/nike-black-classic-cortez-baskets-de-qualite-superieure/prd/10089887?clr=noir-blanc&colourWayId=15093435
